WardName,Wardcode,Pop2013,Aged0_15,Aged16_64,Aged65plus,PctBame,PctNotBornUK,MeanHousePrice2013,PctOpenSpace,CarsPerHH2011,AvgPubTransAccessibility11,CrimeRate1213,PopDensityKm2013,PctWithNoQual11,PctLev4Qual11,TurnoutMayoralElection12,Candidate,x,y,InnerOuter
City of London,E09000001,8000,600,6200,1200,21.4,36.7,595000,18.6425,0.385860889,7.6,730.7894737,2538.062371,6.7,68.4,48.5236517,Boris,532479.7201,181272.0253,Inner
Barking and Dagenham - Abbey,E05000026,13650,3450,9550,700,71.9,57.3,164000,19.6072,0.54768154,5.7,164.4,10500.0,16.4,34.5,25.68894145,Ken,544218.2356,184361.39800000002,Outer
Barking and Dagenham - Alibon,E05000027,10400,2700,6600,1100,29.9,24.7,173500,22.4129,0.815159909,3.2,83.9,7428.6,31.2,16.7,20.34792528,Ken,549061.5648,185152.6226,Outer
Barking and Dagenham - Becontree,E05000028,12050,3000,8000,1100,41.2,30.1,178995,3.03888,0.8702361470000001,2.9,85.7,9269.2,28.0,20.6,22.53821097,Ken,546997.5893,186088.9148,Outer
Barking and Dagenham - Chadwell Heath,E05000029,10150,2450,6150,1550,37.9,24.8,210000,56.4073,0.9180618979999999,2.2,84.5,2985.3,29.1,19.5,25.31881358,Ken,548358.8573,189491.71,Outer
Barking and Dagenham - Eastbrook,E05000030,10600,2150,6900,1550,24.8,19.0,203500,51.1165,1.060457937,2.4,64.9,3028.6,29.9,18.5,24.1214693,Boris,550788.7056,186098.255,Outer
Barking and Dagenham - Eastbury,E05000031,11700,3000,7550,1150,41.7,32.2,187875,18.1054,0.7827715359999999,2.8,75.9,8357.1,28.9,20.0,21.51487593,Ken,546140.2395,183987.5651,Outer
Barking and Dagenham - Gascoigne,E05000032,14050,4450,8800,800,60.4,48.2,156500,20.3279,0.541011841,3.6,104.0,12772.7,25.5,25.2,25.59209636,Ken,544595.7531,183561.6805,Outer
Barking and Dagenham - Goresbrook,E05000033,11300,2900,7150,1200,33.3,26.8,172500,17.1153,0.836768538,2.5,76.9,8692.3,30.0,18.8,20.50673001,Ken,548211.3194,184071.8051,Outer
Barking and Dagenham - Heath,E05000034,10950,2800,6850,1300,32.3,24.1,167000,38.4054,0.73917072,2.6,96.3,5475.0,32.1,17.6,22.24054983,Ken,549443.3992,186491.6598,Outer
Barking and Dagenham - Longbridge,E05000035,11650,2550,7650,1400,57.4,33.3,267500,30.3292,1.1338709679999999,3.1,66.0,7281.3,22.7,25.0,30.60747664,Ken,545482.291,184854.9817,Outer
Barking and Dagenham - Mayesbrook,E05000036,10400,2750,6500,1150,31.2,25.0,175000,45.8051,0.816632757,2.5,71.3,5473.7,32.1,16.2,20.53298384,Ken,547051.1721,184922.1665,Outer
Barking and Dagenham - Parsloes,E05000037,9900,2550,6250,1100,30.9,23.3,177750,17.4591,0.834517232,2.7,68.5,8250.0,31.8,16.0,19.3047889,Ken,548125.0474,185640.9439,Outer
Barking and Dagenham - River,E05000038,11400,3000,7250,1150,38.4,30.9,170000,20.8098,0.834971025,3.1,86.0,3166.7,29.9,19.5,22.37675571,Ken,549478.9664,182985.1929,Outer
Barking and Dagenham - Thames,E05000039,14750,4650,9250,850,54.9,37.2,187500,44.4494,0.7208596709999999,2.1,99.0,1867.1,24.1,24.4,22.135253600000002,Ken,547048.4076,182800.0916,Outer
Barking and Dagenham - Valence,E05000040,10000,2500,6300,1200,31.5,23.3,177500,16.0319,0.846295323,3.2,72.6,7692.3,32.1,17.8,20.25824964,Ken,548034.7403,186794.5431,Outer
