photo_id,longitude,latitude,X,Y,adm1_code,name,region
1559,-2.982906,56.456295,339520.544800,729782.162400,GBR-2020,Dundee,Eastern
2534,-4.287759,55.867930,256939.520800,666228.559100,GBR-2004,Glasgow,South Western
5426,-0.384564,51.828854,511419.549800,215704.355200,GBR-2752,Luton,East
5430,-0.384564,51.828854,511419.549800,215704.355200,GBR-2752,Luton,East
5438,-0.384564,51.828854,511419.549800,215704.355200,GBR-2752,Luton,East
6139,-2.216427,53.460114,385727.392300,395951.324600,GBR-5682,Tameside,North West
6235,-0.144227,51.518940,528856.248900,181634.353000,GBR-2080,Westminster,Greater London
6252,-0.144227,51.518940,528856.248900,181634.353000,GBR-2080,Westminster,Greater London
9321,-0.123344,51.517010,530310.568100,181456.678900,GBR-2064,Camden,Greater London
17693,-0.227022,51.764786,522448.576600,208831.758300,GBR-2042,Hertfordshire,East
18758,-4.267694,55.869470,258200.482500,666358.573600,GBR-2004,Glasgow,South Western
19749,-0.607595,54.488800,490296.581400,511276.350200,GBR-2140,North Yorkshire,Yorkshire and the Humber
19750,-0.607595,54.488800,490296.581400,511276.350200,GBR-2140,North Yorkshire,Yorkshire and the Humber
19751,-0.607595,54.488800,490296.581400,511276.350200,GBR-2140,North Yorkshire,Yorkshire and the Humber
19752,-0.099434,51.507580,531996.688500,180450.846900,GBR-2771,Southwark,Greater London
19753,-0.099434,51.507580,531996.688500,180450.846900,GBR-2771,Southwark,Greater London
20229,-2.178882,53.010590,388094.991000,345935.167800,GBR-2778,Stoke-on-Trent,West Midlands
20362,-2.185592,53.012720,387645.391800,346173.265200,GBR-2778,Stoke-on-Trent,West Midlands
20364,-2.185592,53.012720,387645.391800,346173.265200,GBR-2778,Stoke-on-Trent,West Midlands
20366,-2.185592,53.012720,387645.391800,346173.265200,GBR-2778,Stoke-on-Trent,West Midlands
20374,-2.185592,53.012720,387645.391800,346173.265200,GBR-2778,Stoke-on-Trent,West Midlands
20378,-2.185592,53.012720,387645.391800,346173.265200,GBR-2778,Stoke-on-Trent,West Midlands
25481,-3.204467,55.958717,324898.259200,674621.534500,GBR-2023,Edinburgh,Eastern
25482,-3.203426,55.958454,324962.740200,674591.133100,GBR-2023,Edinburgh,Eastern
25484,-3.205175,55.958720,324854.063900,674622.638900,GBR-2023,Edinburgh,Eastern
26963,-0.233792,51.742634,522041.068500,206356.918500,GBR-2042,Hertfordshire,East
26964,-0.233792,51.742634,522041.068500,206356.918500,GBR-2042,Hertfordshire,East
27749,0.130451,52.196900,545706.956000,257546.122600,GBR-2053,Cambridgeshire,East
29184,-1.756700,53.791600,416125.773800,432836.935200,GBR-5673,Bradford,Yorkshire and the Humber
31859,-0.227022,51.764786,522448.576600,208831.758300,GBR-2042,Hertfordshire,East
35345,-0.233770,51.742516,522042.905100,206343.832700,GBR-2042,Hertfordshire,East
52930,-3.540408,50.721455,291360.019300,92446.435100,GBR-2048,Devon,South West
52934,-3.540408,50.721455,291360.019300,92446.435100,GBR-2048,Devon,South West
52935,-3.540408,50.721455,291360.019300,92446.435100,GBR-2048,Devon,South West
55874,-3.380195,51.749317,304816.590900,206526.211000,GBR-2114,Merthyr Tydfil,East Wales
57318,-2.474455,51.447450,367124.640600,172158.267900,GBR-2046,South Gloucestershire,South West
57786,-6.243116,53.427620,118228.125400,400704.071000,IRL-5574,Fingal,Dublin
57824,-6.260302,53.349790,116569.695400,392120.354500,IRL-5575,Dublin,Dublin
58914,-3.380195,51.749317,304816.590900,206526.211000,GBR-2114,Merthyr Tydfil,East Wales
59485,-2.228379,53.011105,384774.132000,346001.898800,GBR-2777,Staffordshire,West Midlands
59486,-0.098400,51.513800,532050.470100,181144.393700,GBR-2064,Camden,Greater London
65349,-0.233770,51.742516,522042.905100,206343.832700,GBR-2042,Hertfordshire,East
65648,-3.380195,51.749317,304816.590900,206526.211000,GBR-2114,Merthyr Tydfil,East Wales
65649,-3.380195,51.749317,304816.590900,206526.211000,GBR-2114,Merthyr Tydfil,East Wales
65654,-3.380195,51.749317,304816.590900,206526.211000,GBR-2114,Merthyr Tydfil,East Wales
66872,-0.167841,51.564053,527092.314500,186609.842300,GBR-2064,Camden,Greater London
67590,-0.126214,51.518917,530106.015700,181663.641500,GBR-2064,Camden,Greater London
77759,-0.087364,51.524940,532783.825400,182403.150800,GBR-4809,City,Greater London
