,UUID,OBJEKTART,NAME,SPRACHCODE,E,N,"Z,,"
41639,{7B12C33C-9FFB-4AF8-AE8C-C7745BE6A304},Lokalname swisstopo,Pascul da la Stretta Dadour,Rumantsch Grischun inkl. Lokalsprachen,2798097,1149614,"2444,,"
52461,{42066385-6B4D-4E0F-A178-6617B11073AA},Flurname swisstopo,Hölzler,Hochdeutsch inkl. Lokalsprachen,2602394,1218397,"483,,"
138105,{6F962642-DE66-4C7E-9FB4-3ECDBDEF925F},Flurname swisstopo,Nübruch,Hochdeutsch inkl. Lokalsprachen,2698506,1250700,"533,,"
90032,{07711514-E3F7-4FBE-B917-703241F21BF2},Flurname swisstopo,Risiächer,Hochdeutsch inkl. Lokalsprachen,2662840,1232381,"664,,"
234636,{43BC5913-6A2E-40B5-8B3E-4E6BCCCFD2E3},Flurname swisstopo,Plaun Uaul,Rumantsch Grischun inkl. Lokalsprachen,2699119,1168641,"1470,,"
321060,{A8D3764B-D9BA-417E-A396-C1ED4B66AFC2},Haltestelle Bus,"Barico, Bivio per Barico",Italienisch inkl. Lokalsprachen,2708885,1093215,"275,"
211011,{BDDD320D-2BFE-4809-B544-D3CD9CD14284},Flurname swisstopo,Erlä,Hochdeutsch inkl. Lokalsprachen,2627575,1140833,"1832,,"
86784,{07126212-690E-47F8-9DFB-101819CF2E14},Flurname swisstopo,Underi Staldachere,Hochdeutsch inkl. Lokalsprachen,2620233,1162591,"946,,"
288852,{18F31DD3-A689-4992-8C19-060D44A04EBE},Flurname swisstopo,Bööndler,Hochdeutsch inkl. Lokalsprachen,2652529,1236722,"575,,"
52309,{A695D839-C4E1-4F37-8166-E4EA2BA64D10},Flurname swisstopo,Sali,Hochdeutsch inkl. Lokalsprachen,2603299,1221984,"553,,"
248113,{70450E21-2FA9-4AB5-9449-D23B455C7B26},Flurname swisstopo,Runcaspinas,Hochdeutsch inkl. Lokalsprachen,2764764,1187279,"1521,,"
88881,{00249009-25F9-4DA7-BAB6-234768F2054A},Flurname swisstopo,Schepf,Hochdeutsch inkl. Lokalsprachen,2638604,1178455,"1703,,"
43713,{DF5C731A-1E6D-4C59-8090-2D1A3B1FB02C},Flurname swisstopo,Silberbüel,Hochdeutsch inkl. Lokalsprachen,2633767,1259129,"499,,"
99999,{09ACC8E0-E1F4-42A9-8C9C-14A8B9A76BCF},Flurname swisstopo,Allmend,Hochdeutsch inkl. Lokalsprachen,2636570,1232747,"510,,"
275205,{66E7D78E-BC81-4F32-BF23-7445A129E40B},Flurname swisstopo,Maueracker,Hochdeutsch inkl. Lokalsprachen,2605880,1167982,"885,,"
281074,{E619D0D2-EB66-4EC9-AF13-6F50976C98C4},Flurname swisstopo,Giesse,Hochdeutsch inkl. Lokalsprachen,2746584,1229162,"1003,,"
280384,{CA14945B-CF4A-4FA4-AFC2-637DF0B46623},Flurname swisstopo,Büchel,Hochdeutsch inkl. Lokalsprachen,2729815,1230392,"1419,,"
175201,{56A0AE77-6313-4AA4-8253-972158E98945},Flurname swisstopo,Sur la Fontaine,Franzoesisch inkl. Lokalsprachen,2556444,1186346,"473,,"
223728,{F123C5E5-7121-40BC-A667-36DF14FFE7D9},Flurname swisstopo,Oberer Tröpflirain,Hochdeutsch inkl. Lokalsprachen,2606333,1255647,"531,,"
171589,{EC55D4D4-AE10-44F5-8413-86B142F473A2},Flurname swisstopo,Piàn da Nadro,Italienisch inkl. Lokalsprachen,2710205,1099509,"804,,"
132958,{B7CE4F48-DC17-44FA-B4F4-0A6BFED953BE},Flurname swisstopo,Bachtobel,Hochdeutsch inkl. Lokalsprachen,2699246,1240559,"486,,"
95318,{15214671-640A-4A02-A2ED-CE351A607F5D},Flurname swisstopo,Gerstenacher,Hochdeutsch inkl. Lokalsprachen,2644058,1227093,"668,,"
297782,{5EAC2497-F9B5-4247-9383-6488D355D8DF},Haltestelle Bahn,Zermatt GGB,Hochdeutsch inkl. Lokalsprachen,2624064,1096961,"1605,,"
194771,{7D22B6DC-EDA5-4D25-979F-EAE45976AFF5},Flurname swisstopo,Uf der Blatte,Hochdeutsch inkl. Lokalsprachen,2596043,1151840,"966,,"
297408,{74CEFF71-577C-4702-A551-B2CB6448C23A},Haltestelle Schiff,Uster (See),Hochdeutsch inkl. Lokalsprachen,2694574,1244351,"435,,"
274232,{F0E78FBF-86BE-4205-B3C2-E791A8FA4D22},Flurname swisstopo,Corte Magro,Italienisch inkl. Lokalsprachen,2699405,1116421,"649,,"
24270,{AFCAE955-DD10-4B1F-AB00-A6DBCDAD2A24},Huegel,Holzenberg,Hochdeutsch inkl. Lokalsprachen,2618197,1252416,"758,,"
15388,{FDF38837-40CA-41FB-94F6-040DA1FAC2AE},Pass,Forcola di Fuori,Italienisch inkl. Lokalsprachen,2830182,1190024,"2635,,"
80367,{10437230-476A-4E9C-B82F-1A0197232A81},Flurname swisstopo,Brand,Hochdeutsch inkl. Lokalsprachen,2653514,1177919,"866,,"
85510,{5CF3A733-0D3B-4A75-8D97-60A13B881046},Flurname swisstopo,Bächimatt,Hochdeutsch inkl. Lokalsprachen,2615212,1177622,"560,,"
135003,{AFCFB95B-5109-407A-A106-6B91A6A96780},Flurname swisstopo,Altwis,Hochdeutsch inkl. Lokalsprachen,2678388,1245887,"682,,"
60691,{9BD4DCCB-CAC2-426A-8F8A-B78A5F0492EF},Flurname swisstopo,Boulier,Franzoesisch inkl. Lokalsprachen,2582054,1247437,"761,,"
